rawAccX;rawAccY;rawAccZ;rawMagX;rawMagY;rawMagZ;accX;accY;accZ;magX;magY;magZ;accNorm;magNorm
-20;-16;1040;-189;-112;-332;-0.029420;-0.023536;1.529838;-28.350001;-16.800001;-49.800002;10.202010;398.106770
-20;-8;1032;-308;3;-325;-0.029420;-0.011768;1.518070;-46.200002;0.450000;-48.750002;10.122668;447.770030
36;0;948;-330;154;-321;0.052956;0.000000;1.394506;-49.500002;23.100001;-48.150002;9.303406;485.445157
-72;136;1020;-330;188;-321;-0.105912;0.200056;1.500418;-49.500002;28.200001;-48.150002;10.115977;497.277588
76;8;996;-294;283;-314;0.111796;0.011768;1.465114;-44.100002;42.450002;-47.100002;9.796132;514.899019
28;-128;960;-215;341;-321;0.041188;-0.188288;1.412158;-32.250001;51.150002;-48.150002;9.501668;515.312527
16;40;992;-80;365;-330;0.023536;0.058840;1.459230;-12.000000;54.750002;-49.500002;9.737367;498.522818
-12;104;764;65;309;-346;-0.017652;0.152984;1.123842;9.750000;46.350002;-51.900002;7.562295;468.425021
-44;-8;992;139;215;-354;-0.064724;-0.011768;1.459230;20.850001;32.250001;-53.100002;9.738078;436.877557
0;24;976;178;140;-349;0.000000;0.035304;1.435694;26.700001;21.000001;-52.350002;9.574184;416.034854
-24;-72;1016;168;93;-348;-0.035304;-0.105912;1.494534;25.200001;13.950001;-52.200002;9.991317;397.463206
-12;-20;904;158;20;-347;-0.017652;-0.029420;1.329782;23.700001;3.000000;-52.050002;8.868163;381.802305
-36;-12;976;124;-50;-345;-0.052956;-0.017652;1.435694;18.600001;-7.500000;-51.750002;9.578523;370.001351
-32;-12;1024;35;-119;-343;-0.047072;-0.017652;1.506302;5.250000;-17.850001;-51.450002;10.047602;364.739633
0;-28;1012;-102;-142;-336;0.000000;-0.041188;1.488650;-15.300001;-21.300001;-50.400002;9.928129;378.766419
-16;-32;1016;-237;-94;-323;-0.023536;-0.047072;1.494534;-35.550001;-14.100001;-48.450002;9.969733;411.502126
-40;-72;976;-236;-86;-324;-0.058840;-0.105912;1.435694;-35.400001;-12.900001;-48.600002;9.605313;409.960974
-36;-16;960;-81;-138;-336;-0.052956;-0.023536;1.412158;-12.150000;-20.700001;-50.400002;9.422309;372.157225
-24;0;992;51;-110;-343;-0.035304;0.000000;1.459230;7.650000;-16.500001;-51.450002;9.731044;363.799395
-60;56;1032;132;-26;-347;-0.088260;0.082376;1.518070;19.800001;-3.900000;-52.050002;10.152418;372.167973
56;-36;900;160;33;-354;0.082376;-0.052956;1.323898;24.000001;4.950000;-53.100002;8.850099;389.878186
-12;-24;984;164;46;-352;-0.017652;-0.035304;1.447462;24.600001;6.900000;-52.800002;9.653331;391.044754
-20;28;972;152;28;-351;-0.029420;0.041188;1.429810;22.800001;4.200000;-52.650002;9.538035;383.521838
24;-12;952;148;-1;-350;0.035304;-0.017652;1.400390;22.200001;-0.150000;-52.500002;9.339638;380.006579
-36;-28;988;134;-34;-350;-0.052956;-0.041188;1.453346;20.100001;-5.100000;-52.500002;9.699288;376.313699
-20;-92;972;122;-43;-351;-0.029420;-0.135332;1.429810;18.300001;-6.450000;-52.650002;9.576675;374.077532
8;-16;916;112;-51;-346;0.011768;-0.023536;1.347434;16.800001;-7.650000;-51.900002;8.984605;367.234258
-32;-44;992;142;-19;-348;-0.047072;-0.064724;1.459230;21.300001;-2.850000;-52.200002;9.742817;376.336286
-20;-24;980;145;-8;-350;-0.029420;-0.035304;1.441578;21.750001;-1.200000;-52.500002;9.615400;378.931392
-12;-24;984;149;-2;-351;-0.017652;-0.035304;1.447462;22.350001;-0.300000;-52.650002;9.653331;381.321387
-8;-24;988;147;10;-349;-0.011768;-0.035304;1.453346;22.050001;1.500000;-52.350002;9.692146;378.827137
-12;-24;988;150;3;-352;-0.017652;-0.035304;1.453346;22.500001;0.450000;-52.800002;9.692543;382.639517
-8;-20;992;150;4;-349;-0.011768;-0.029420;1.459230;22.500001;0.600000;-52.350002;9.730490;379.890774
0;-36;1004;149;9;-350;0.000000;-0.052956;1.476882;22.350001;1.350000;-52.500002;9.852205;380.502300
-8;-16;988;152;8;-350;-0.011768;-0.023536;1.453346;22.800001;1.200000;-52.500002;9.690559;381.664774
-4;-16;988;155;-4;-353;-0.005884;-0.023536;1.453346;23.250001;-0.600000;-52.950002;9.690320;385.551553
-16;-24;992;155;10;-347;-0.023536;-0.035304;1.459230;23.250001;1.500000;-52.050002;9.732309;380.176275
rawAccX;rawAccY;rawAccZ;rawMagX;rawMagY;rawMagZ;accX;accY;accZ;magX;magY;magZ;accNorm;magNorm
0;-16;988;156;12;-350;0.000000;-0.023536;1.453346;23.400001;1.800000;-52.500002;9.690241;383.379707
-80;-24;1056;146;-1;-347;-0.117680;-0.035304;1.553373;21.900001;-0.150000;-52.050002;10.388164;376.465138
-40;4;1016;141;-25;-348;-0.058840;0.005884;1.494534;21.150001;-3.750000;-52.200002;9.971353;376.311042
0;-28;964;123;-44;-344;0.000000;-0.041188;1.418042;18.450001;-6.600000;-51.600002;9.457598;367.968749
32;0;912;104;-66;-343;0.047072;0.000000;1.341550;15.600001;-9.900000;-51.450002;8.949169;364.446155
-72;-40;928;80;-90;-343;-0.105912;-0.058840;1.365086;12.000000;-13.500001;-51.450002;9.136346;363.523039
-56;-16;984;53;-109;-345;-0.082376;-0.023536;1.447462;7.950000;-16.350001;-51.750002;9.666632;365.670617
0;-4;984;25;-126;-341;0.000000;-0.005884;1.447462;3.750000;-18.900001;-51.150002;9.649824;364.392645
-72;4;1044;-8;-123;-336;-0.105912;0.005884;1.535722;-1.200000;-18.450001;-50.400002;10.262537;357.895236
12;20;1008;-63;-132;-334;0.017652;0.029420;1.482766;-9.450000;-19.800001;-50.100002;9.887749;364.621722
0;-28;980;-108;-131;-336;0.000000;-0.041188;1.441578;-16.200001;-19.650001;-50.400002;9.614439;376.458497
-16;16;1056;-114;-136;-332;-0.023536;0.023536;1.553373;-17.100001;-20.400001;-49.800002;10.358200;376.451856
-16;36;976;-160;-128;-326;-0.023536;0.052956;1.435694;-24.000001;-19.200001;-48.900002;9.579085;385.045452
-36;12;1004;-184;-119;-325;-0.052956;0.017652;1.476882;-27.600001;-17.850001;-48.750002;9.852908;391.971938
-44;-16;976;-213;-96;-331;-0.064724;-0.023536;1.435694;-31.950001;-14.400001;-49.650002;9.582297;405.149355
-40;-12;992;-226;-88;-329;-0.058840;-0.017652;1.459230;-33.900001;-13.200001;-49.350002;9.736814;408.730963
-48;-16;956;-244;-69;-326;-0.070608;-0.023536;1.406274;-36.600001;-10.350000;-48.900002;9.388279;413.004843
-36;-16;992;-269;-62;-321;-0.052956;-0.023536;1.459230;-40.350002;-9.300000;-48.150002;9.735865;423.374539
-20;-48;1004;-293;-34;-319;-0.029420;-0.070608;1.476882;-43.950002;-5.100000;-47.850002;9.859075;434.472093
-8;-4;996;-307;-20;-317;-0.011768;-0.005884;1.465114;-46.050002;-3.000000;-47.550002;9.767817;441.744270
-12;-4;976;-323;22;-314;-0.017652;-0.005884;1.435694;-48.450002;3.300000;-47.100002;9.572095;451.008869
-16;-4;1020;-334;47;-313;-0.023536;-0.005884;1.500418;-50.100002;7.050000;-46.950002;10.004091;460.145629
-12;-4;1004;-348;92;-313;-0.017652;-0.005884;1.476882;-52.200002;13.800001;-46.950002;9.846659;477.008386
-28;-4;1008;-346;127;-313;-0.041188;-0.005884;1.482766;-51.900002;19.050001;-46.950002;9.888994;483.543173
-32;-60;1008;-345;168;-310;-0.047072;-0.088260;1.482766;-51.750002;25.200001;-46.500002;9.907571;493.304166
-12;-8;996;-337;198;-311;-0.017652;-0.011768;1.465114;-50.550002;29.700001;-46.650002;9.768448;499.493744
-8;-4;988;-330;225;-310;-0.011768;-0.005884;1.453346;-49.500002;33.750001;-46.500002;9.689368;505.593710
-60;-16;1012;-324;239;-312;-0.088260;-0.023536;1.488650;-48.600002;35.850001;-46.800002;9.942996;509.353512
-8;-8;1008;-315;252;-312;-0.011768;-0.011768;1.482766;-47.250002;37.800002;-46.800002;9.885726;509.973529
-16;-40;996;-292;285;-311;-0.023536;-0.058840;1.465114;-43.800002;42.750002;-46.650002;9.776556;513.039959
0;-12;984;-265;310;-316;0.000000;-0.017652;1.447462;-39.750002;46.500002;-47.400002;9.650462;515.927320
24;8;952;-232;337;-317;0.035304;0.011768;1.400390;-34.800001;50.550002;-47.550002;9.339227;517.573183
-4;0;1000;-206;353;-317;-0.005884;0.000000;1.470998;-30.900001;52.950002;-47.550002;9.806729;517.236890
24;8;992;-160;369;-319;0.035304;0.011768;1.459230;-24.000001;55.350002;-47.850002;9.731360;513.343939
-16;4;1000;-139;375;-321;-0.023536;0.005884;1.470998;-20.850001;56.250002;-48.150002;9.807984;512.822581
-8;4;1000;-87;376;-321;-0.011768;0.005884;1.470998;-13.050001;56.400002;-48.150002;9.807042;501.982071
-12;-12;996;-34;371;-327;-0.017652;-0.017652;1.465114;-5.100000;55.650002;-49.050002;9.768841;495.707575
-32;-20;976;15;360;-330;-0.047072;-0.029420;1.435694;2.250000;54.000002;-49.500002;9.578442;488.594924
-64;-32;1060;36;347;-331;-0.094144;-0.047072;1.559258;5.400000;52.050002;-49.650002;10.418707;480.901237
