rawAccX;rawAccY;rawAccZ;rawMagX;rawMagY;rawMagZ;accX;accY;accZ;magX;magY;magZ;accNorm;magNorm
-148;-12;988;212;29;-334;-0.022220;-0.001802;0.148334;0.080169;0.010967;-0.126304;9.797781;396.662325
-108;-16;964;213;34;-335;-0.016698;-0.002474;0.149047;0.080189;0.012800;-0.126119;9.514049;398.434436
-136;-12;980;216;40;-334;-0.020617;-0.001819;0.148565;0.081048;0.015009;-0.125324;9.703333;399.764931
4;8;844;214;40;-333;0.000711;0.001422;0.149992;0.080684;0.015081;-0.125550;8.277278;397.850474
-124;-16;980;215;38;-337;-0.018827;-0.002429;0.148794;0.080315;0.014195;-0.125889;9.688415;401.544518
-128;-16;980;215;35;-337;-0.019424;-0.002428;0.148717;0.080369;0.013083;-0.125974;9.693416;401.271728
-120;-8;972;214;35;-336;-0.018378;-0.001225;0.148865;0.080271;0.013128;-0.126033;9.604752;399.896237
-120;-12;964;211;35;-336;-0.018528;-0.001853;0.148840;0.079463;0.013181;-0.126538;9.527301;398.298883
-68;0;976;204;41;-343;-0.010426;0.000000;0.149637;0.076275;0.015330;-0.128246;9.594493;401.180757
368;-84;772;35;51;-392;0.064235;-0.014662;0.134755;0.013229;0.019277;-0.148167;8.427240;396.850098
460;-104;680;-121;107;-397;0.083380;-0.018851;0.123257;-0.042347;0.037447;-0.138940;8.115357;428.601213
564;-88;860;-166;79;-386;0.081961;-0.012788;0.124976;-0.058240;0.027717;-0.135425;10.122440;427.542980
584;-104;372;-250;81;-360;0.125110;-0.022280;0.079693;-0.084135;0.027260;-0.121154;6.866449;445.714034
804;-268;332;-430;121;-250;0.132498;-0.044166;0.054713;-0.126001;0.035456;-0.073257;8.926013;511.899404
884;-120;-124;-564;93;-51;0.147221;-0.019985;-0.020651;-0.147416;0.024308;-0.013330;8.832696;573.886748
820;-136;-456;-582;111;86;0.129738;-0.021517;-0.072147;-0.145816;0.027810;0.021547;9.297367;598.699424
784;-192;-512;-579;94;140;0.123031;-0.030130;-0.080347;-0.144016;0.023381;0.034823;9.373763;603.056382
612;-100;-796;-550;61;234;0.090978;-0.014866;-0.118330;-0.137314;0.015229;0.058421;9.895295;600.813615
428;16;-796;-508;30;305;0.071025;0.002655;-0.132093;-0.128437;0.007585;0.077113;8.864345;593.286609
244;100;-1036;-425;13;392;0.034237;0.014031;-0.145365;-0.110232;0.003372;0.101673;10.483635;578.323439
20;200;-980;-314;9;458;0.002999;0.029988;-0.146941;-0.084808;0.002431;0.123700;9.810572;555.374648
-352;224;-952;-169;-9;492;-0.050798;0.032326;-0.137385;-0.048722;-0.002595;0.141843;10.193181;520.294148
-652;180;-856;42;-10;479;-0.089644;0.024748;-0.117692;0.013099;-0.003119;0.149394;10.698872;480.941784
-1008;236;-392;232;-20;390;-0.136587;0.031979;-0.053117;0.076613;-0.006605;0.128790;10.855851;454.229017
-1056;220;-228;306;-45;307;-0.143673;0.029932;-0.031020;0.105327;-0.015489;0.105671;10.811893;435.786645
-1040;140;160;384;-42;197;-0.146961;0.019783;0.022609;0.132834;-0.014529;0.068147;10.409842;433.623108
-972;76;328;427;-6;76;-0.141738;0.011082;0.047829;0.147665;-0.002075;0.026282;10.087722;433.752233
-712;48;640;414;4;-70;-0.111416;0.007511;0.100150;0.147894;0.001429;-0.025006;9.400318;419.895225
-1000;-80;788;398;1;-121;-0.117585;-0.009407;0.092657;0.143514;0.000361;-0.043631;12.510088;415.987981
-572;-20;728;361;25;-193;-0.092652;-0.003240;0.117920;0.132036;0.009144;-0.070590;9.081446;410.115837
-364;128;908;299;4;-258;-0.055343;0.019461;0.138052;0.113560;0.001519;-0.097989;9.675065;394.944300
-264;76;980;249;8;-297;-0.038908;0.011201;0.144432;0.096349;0.003096;-0.114923;9.980993;387.651906
-16;56;944;173;3;-339;-0.002538;0.008881;0.149715;0.068181;0.001182;-0.133604;9.275081;380.603468
124;80;980;70;6;-374;0.018768;0.012108;0.148328;0.027592;0.002365;-0.147421;9.718861;380.541719
392;80;888;-39;-24;-377;0.060372;0.012321;0.136761;-0.015404;-0.009479;-0.148906;9.551336;379.770984
480;92;840;-114;-21;-371;0.074087;0.014200;0.129652;-0.043994;-0.008104;-0.143174;9.530450;388.687535
540;92;772;-149;-30;-365;0.085570;0.014579;0.122333;-0.056528;-0.011381;-0.138474;9.282957;395.380829
524;68;808;-141;-19;-369;0.081414;0.010565;0.125539;-0.053480;-0.007206;-0.139957;9.467680;395.478192
392;100;900;-61;-23;-375;0.059590;0.015202;0.136814;-0.024039;-0.009064;-0.147783;9.676655;380.624487
252;80;948;14;-19;-375;0.038408;0.012193;0.144486;0.005589;-0.007585;-0.149704;9.651498;375.741933
-28;24;1008;130;23;-359;-0.004164;0.003569;0.149900;0.050980;0.009019;-0.140783;9.891717;382.504902
-212;-52;980;244;68;-311;-0.031673;-0.007769;0.146412;0.091249;0.025430;-0.116305;9.846033;401.099738
-476;-56;864;341;61;-226;-0.072265;-0.008502;0.131170;0.123666;0.022122;-0.081960;9.689288;413.615764
-744;-120;740;409;88;-120;-0.105663;-0.017042;0.105095;0.140960;0.030329;-0.041357;10.357680;435.229824
-680;-56;428;432;62;-51;-0.126640;-0.010429;0.079709;0.147475;0.021165;-0.017410;7.898586;439.396177
-848;-108;460;441;61;38;-0.131032;-0.016688;0.071079;0.148047;0.020478;0.012757;9.519869;446.817636
-1044;-96;280;430;66;119;-0.144312;-0.013270;0.038704;0.143010;0.021950;0.039577;10.641693;451.017738
-1048;0;100;397;20;210;-0.149322;0.000000;0.014248;0.132461;0.006673;0.070068;10.324052;449.565346
-1040;0;-192;356;12;282;-0.147507;0.000000;-0.027232;0.117539;0.003962;0.093107;10.371265;454.317070
-1000;56;-304;281;26;366;-0.143309;0.008025;-0.043566;0.091202;0.008439;0.118790;10.264485;462.161227
-920;-40;-520;186;53;436;-0.130491;-0.005674;-0.073756;0.058494;0.016668;0.137115;10.370968;476.970649
-808;-12;-716;104;32;471;-0.112258;-0.001667;-0.099476;0.032271;0.009930;0.146151;10.587841;483.405627
-696;0;-844;-7;36;501;-0.095433;0.000000;-0.115726;-0.002090;0.010750;0.149600;10.728100;502.340522
-392;24;-928;-158;15;501;-0.058352;0.003573;-0.138139;-0.045097;0.004281;0.142996;9.881990;525.537820
-204;24;-1028;-264;19;477;-0.029190;0.003434;-0.147092;-0.072592;0.005224;0.131161;10.280513;545.514436
140;-48;-1124;-361;31;435;0.018523;-0.006351;-0.148716;-0.095649;0.008214;0.115256;11.117819;566.133377
224;36;-980;-426;19;383;0.033402;0.005368;-0.146135;-0.111485;0.004972;0.100232;9.864691;573.171876
424;4;-940;-492;21;316;0.061675;0.000582;-0.136733;-0.126129;0.005384;0.081010;10.112707;585.116228
576;32;-748;-540;33;236;0.091466;0.005081;-0.118778;-0.137232;0.008386;0.059975;9.263543;590.241476
